s,caption_snippet,n_shared_codes,n_excluded_codes,spearman,kendall_tau,jaccard_top3,jaccard_top5,jaccard_top10
10960026804461185660,"Nativity scene:  The Virgin Mary, adorned in a blue mantle, ",20,0,0.6398197529636113,0.4297218286123331,0.0,0.25,0.8181818181818182
10971084441348925440,Stigmatization of St. Francis of Assisi — Francis kneels bar,19,0,0.5489684167405755,0.36579603479247413,1.0,0.42857142857142855,0.6666666666666666
11141145488772412776,"National Galleries of Scotland, Edinburgh (NG 2706).\n\nBart",24,0,0.8582355351415528,0.6919381965962731,0.2,0.6666666666666666,0.5384615384615384
11162386747540950617,This 17th-century painting depicts the biblical scene of Pon,26,0,0.5567851740665571,0.44141284790904856,0.5,1.0,0.5384615384615384
11250888974107748548,Dormition of the Virgin. Christ takes Mary's soul\nAn Orthod,14,0,0.3902998196727794,0.24584458594722083,1.0,0.42857142857142855,0.42857142857142855
11531479210704411935,"Christ seated, bearded, with a golden halo, raising his righ",21,0,0.8366557062602981,0.6538530488755172,0.5,0.25,1.0
11641198026008855658,A Baroque painting by Nicolas van Heilst depicting the Roman,37,0,0.36094849287458386,0.2578515418806107,0.0,0.25,0.42857142857142855
11641198026008855658,A Baroque-style oil painting depicting the mythological figu,37,0,0.43861945798928226,0.2978149031657043,0.0,0.1111111111111111,0.3333333333333333
11802997788413850920,"A 16th-century family portrait featuring a man, a woman, and",32,0,0.6933312400655335,0.49849495282332523,0.0,0.25,0.42857142857142855
12192331325109011324,"The painting depicts the Adoration of the Magi, set within a",50,0,0.7167807907887432,0.5341344091097431,0.2,0.42857142857142855,0.3333333333333333
12441522396601009420,"The painting depicts the Adoration of the Magi, a biblical s",40,0,0.8482041065563093,0.6728144372798194,0.5,0.42857142857142855,0.5384615384615384
12581879401560864253,A naturalistic illustration featuring two squirrels on a lig,17,0,0.9361207617376939,0.8253301377967454,0.5,0.6666666666666666,1.0
12626541832699988837,Sparnaay.\nThis is a hyperrealist painting of a crushed and ,20,0,0.5084946558692325,0.40736509762195355,0.5,0.6666666666666666,0.5384615384615384
12663102502437880672,Mass of St. Gregory — a popular devotional scene showing Chr,18,0,0.7010842441774293,0.5639374573446542,1.0,0.6666666666666666,0.5384615384615384
12691307942112646251,An oil painting depicting the Adoration of the Magi. In the ,35,0,0.593780647371775,0.39225644811856786,0.2,0.1111111111111111,0.42857142857142855
12759271188392082642,An expressionistic landscape painting featuring rolling hill,16,0,0.7835060043536575,0.605063380907533,0.0,0.42857142857142855,1.0
12955385201123769742,An ornate ceiling fresco within a white and gold stucco fram,26,0,0.7112326997434626,0.5670268672524564,0.2,0.25,0.5384615384615384
13284997490043436347,See also: https://kulturpool.at/objekte/6942a450-d71e-4671-a,13,0,0.008345577343596845,0.013437656161169414,0.2,0.25,0.6666666666666666
13461956401420972208,"A stone carving of a grotesque human figure, likely a mediev",17,0,0.8755817482482576,0.7249712917387874,0.5,0.6666666666666666,0.8181818181818182
13645103966380635075,"This late 15th-century painting, often titled 'The Love Spel",30,0,0.6636235377602084,0.48029910732393005,0.0,0.25,0.6666666666666666
13863486918796701683,An engraved illustration from a 17th or 18th-century Polish ,35,0,0.6026388585780438,0.445993790019568,0.0,0.25,0.5384615384615384
13863486918796701683,An 18th-century Polish devotional engraving serving as a fro,35,0,0.590049198839989,0.41999526087625877,0.0,0.42857142857142855,0.6666666666666666
14184965043118883795,"Mary standing, crowned, in a rich blue mantle over a red dre",19,0,0.607283954907744,0.4926707401544507,0.2,0.42857142857142855,0.6666666666666666
14393802767342518602,An old engraving depicting a grand classical architectural s,28,0,0.7961648616491503,0.6061679951375907,0.2,0.1111111111111111,0.5384615384615384
14649011000524192046,Two men flogging Christ who is carrying the cross; one of th,9,0,0.747925568066256,0.5716619504750294,0.5,0.6666666666666666,1.0
14864563193460664463,Office of the dead: Two monks behind a coffin praying or sin,14,0,0.3608363019580574,0.26519741765271837,0.5,0.25,0.5384615384615384
15254837055937412712,A Neoclassical-style painting depicting an intimate and tend,22,0,0.7984194689929678,0.6328982730973721,0.2,0.25,0.8181818181818182
15302258683520844647,A medieval manuscript illumination depicting the Annunciatio,29,0,0.396787040357213,0.3047098881837942,0.0,0.25,0.42857142857142855
15411561477693187680,The Fall: Eve taking fruit from the serpent; Adam also holdi,5,0,-0.7181848464596079,-0.5270462766947299,0.2,1.0,1.0
15445293936615494162,"An anatomical woodcut portrait of Andreas Vesalius, the reno",32,0,0.7064165471203047,0.5419678435966195,1.0,0.42857142857142855,0.8181818181818182
15589628905867530820,A composite grid of twenty panels from Josef Albers' 'Homage,30,0,0.7778190491792168,0.6269004843799393,0.5,0.6666666666666666,0.5384615384615384
15596034280674098400,The scene depicted is Christ among the Doctors (Jesus as a b,21,0,0.6140688116725254,0.45295383125908056,0.2,0.42857142857142855,0.5384615384615384
16232289697255610764,"Escorial, Library ceiling.\nAllegory of Music",15,0,0.5071428571428571,0.40952380952380957,0.2,0.25,0.6666666666666666
16376322040939067976,"An allegorical illustration from a book by Cesare Ripa, repr",30,0,0.46752154432334275,0.3399580261638813,0.5,0.42857142857142855,0.3333333333333333
17296911711175450442,A medieval manuscript illumination depicting a martyrdom sce,29,0,0.6141907060009573,0.41975436596557153,0.2,0.42857142857142855,0.5384615384615384
17492285923233297695,"A watercolor painting depicting a long, vaulted stone arcade",21,0,0.5551592665488702,0.4444911273335438,0.2,0.6666666666666666,0.5384615384615384
17950679288362120890,"A still life oil painting by J. Huisman, dated 1977, depicti",20,0,0.715535641153413,0.5554195174465604,0.5,0.6666666666666666,0.5384615384615384
17950679288362120890,"A realistic still life painting from 1977 by J. Huisman, dep",20,0,0.7390682194144753,0.5416503504102173,0.5,0.42857142857142855,0.5384615384615384
